,product_id,Product Information Type,Consumer Involvement Level,Utility Structure,Dominant Perceived Risk Type,Return Risk Level,Standardization Degree,Fulfillment and Logistics Attribute,Visual Verifiability,Product Form,Product Life Cycle Stage,Durability,Configuration Decision Complexity,Bundle Complexity,Social and Emotional Attribute,Seasonality and Time Sensitivity,Repurchase Frequency,Trust Source,Sensory Dependence Degree,Perishability,Commitment Structure,Search Intensity,Consumer Goods Category,Price Transparency,Fit Uncertainty,Using Feedback Delay,Using Learning Cost,Severity Consequences,Complement Dependence,Lock-in Effect,Demonstration Dependence,Intended User,Decision Deferrability,Safety and Compliance Sensitivity,Information Presentation Format,Decision Inertia Degree,Substitutes Density,Brand Awareness
0,55c231ba436c6144,Search Good,Moderate,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,Mature,Durable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Brand-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,Low Inertia,High Substitute Density,Medium
1,86758f68dc5d24dd,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,New,Durable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Brand-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,High Inertia,High Substitute Density,Low
2,f5b249444945daea,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,New,Durable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Brand-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,High Inertia,High Substitute Density,Low
3,ba8460bba9015907,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,Mature,Durable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Other,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,High Inertia,High Substitute Density,Low
4,1f9622011f9fd0cd,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,Mature,Durable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Other,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,High Inertia,High Substitute Density,Low
5,a9aed2c06503b388,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,New,Durable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Other,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,High Inertia,High Substitute Density,Low
6,5fcd6aa4b53ce114,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,New,Nondurable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,High-frequency,Influencer-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Convenience Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,Low Inertia,High Substitute Density,Low
7,aecf8b9c51ed7653,Search Good,Low,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,New,Nondurable Good,Non-configurable Product,Single Item,Utility-oriented,Weak Seasonality,High-frequency,Influencer-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Convenience Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,Low Inertia,High Substitute Density,Low
8,053e7b729904b49a,Search Good,Moderate,Utilitarian,Quality Risk,Medium,Medium,Standardized Item,High,Physical Good,Mature,Durable Good,Configurable Product,Single Item,Utility-oriented,Weak Seasonality,Low-frequency,Brand-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Stand-alone Use,Low Lock-in,Low Demonstration,Self-use,Deferrable,High,Specification-driven,Low Inertia,High Substitute Density,Medium
9,da835b4973c1b1db,Search Good,Low,Utilitarian,Quality Risk,Low,Medium,Standardized Item,High,Physical Good,Mature,Durable Good,Non-configurable Product,Bundle,Utility-oriented,Weak Seasonality,Low-frequency,Influencer-driven,Low Sensory Dependence,Non-perishable,One-time Purchase,High Search,Shopping Good,High Transparency,Low Fit Uncertainty,Immediate Feedback,Low Learning Cost,Low Consequence,Dependent on Other Products,Low Lock-in,Low Demonstration,Self-use,Deferrable,Low,Specification-driven,High Inertia,High Substitute Density,Low
