,live_room_id,time,live_start_time,compass_id,year_month,EnterCnt_s,OnlineCnt_s,LeaveCnt_s,ShowCnt_s,WatchRatio_s,ShowCnt_l,WatchCnt_l,WatchRatio_l,WatchConvRatio_l,ConvCnt_s,ConvAmt_s,ConvOrder_s,RepeatRatio_s,GPM_s,GPM_l,RepeatRatio_l,ClickRatio_l,ConvAmt_l,FollowCnt_s,ComCnt_s,ClubCnt_s,FollowRatio_s,InterRatio_s,StayTime_l,FollowRatio_l,AvgComCnt_l,InterRatio_l
0,ROOM_0001,2025-01-01 05:05:00,2025-01-01 05:01:34,1317,2307,345.0,91.0,298.0,0.0,0.0,416.0,33.0,0.079326923076923,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
1,ROOM_0001,2025-01-01 05:06:00,2025-01-01 05:01:34,1317,2307,247.0,89.0,259.0,629.0,0.2639109697933227,1045.0,199.0,0.1923444976076555,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0060240963855421,5.0,0.0050251256281407,0.0,0.0
2,ROOM_0001,2025-01-01 05:07:00,2025-01-01 05:01:34,1317,2307,221.0,86.0,227.0,1046.0,0.1797323135755258,2091.0,387.0,0.1884265901482544,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,2.0,1.0,0.0,0.0053191489361701,7.0,0.0051679586563307,0.0,0.0
3,ROOM_0001,2025-01-01 05:08:00,2025-01-01 05:01:34,1317,2307,256.0,99.0,233.0,1751.0,0.0731010850942318,3842.0,515.0,0.1376887038001041,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,2.0,0.0,0.0,0.0,0.015625,9.0,0.0077669902912621,0.0,0.0
4,ROOM_0001,2025-01-01 05:09:00,2025-01-01 05:01:34,1317,2307,295.0,109.0,289.0,606.0,0.1023102310231023,4448.0,577.0,0.1328687050359712,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,4.0,3.0,0.0,0.0161290322580645,0.0161290322580644,9.0,0.0086655112651646,0.0017331022530329,0.0
5,ROOM_0001,2025-01-01 05:10:00,2025-01-01 05:01:34,1317,2307,378.0,106.0,378.0,1350.0,0.1074074074074074,5798.0,722.0,0.1284925836495343,0.01108,8,1039.92,8,1.0,770.3111,179.3584,0.5,0.0465116279069767,1039.92,3.0,2.0,1.0,0.0137931034482758,0.0137931034482757,11.0,0.0096952908587257,0.0041551246537396,0.0
6,ROOM_0001,2025-01-01 05:11:00,2025-01-01 05:01:34,1317,2307,348.0,105.0,336.0,1221.0,0.1891891891891892,7019.0,953.0,0.1413306738851688,0.010493,2,99.98,2,0.0,81.8837,162.4021,0.5,0.0416666666666666,1139.9,1.0,1.0,0.0,0.0173160173160173,1.1919277493811203e-16,12.0,0.0073452256033578,0.0073452256033578,0.0
7,ROOM_0001,2025-01-01 05:12:00,2025-01-01 05:01:34,1317,2307,429.0,128.0,439.0,1226.0,0.0913539967373572,8245.0,1065.0,0.1342631898120072,0.011268,2,99.98,2,1.0,81.5498,150.3796,0.6666666666666666,0.0526315789473684,1239.88,2.0,3.0,2.0,0.0178571428571428,0.0267857142857139,12.0,0.0093896713615023,0.0084507042253521,0.0
8,ROOM_0001,2025-01-01 05:13:00,2025-01-01 05:01:34,1317,2307,349.0,120.0,329.0,1652.0,0.1089588377723971,9897.0,1245.0,0.1320602202687683,0.011245,2,99.98,2,0.0,60.5206,135.3804,0.6666666666666666,0.0491803278688524,1339.86,0.0,6.0,2.0,0.0055555555555555,0.0055555555555555,13.0,0.0088353413654618,0.0080321285140562,0.0
9,ROOM_0001,2025-01-01 05:14:00,2025-01-01 05:01:34,1317,2307,207.0,133.0,210.0,842.0,0.2553444180522565,10739.0,1460.0,0.1427507216686842,0.012329,4,199.96,4,1.0,237.4822,143.3858,0.8333333333333334,0.0857142857142857,1539.82,2.0,5.0,2.0,0.0093023255813953,0.0139534883720932,13.0,0.0095890410958904,0.0082191780821917,0.0
